athlete_id,meet_name,meet_date,event,result_distance,result_time,wind
116,UW-La Crosse Mark Guthrie Legacy Invitational,2026-02-07,PV,3.68,,
116,2026 Meyo Invitational (Notre Dame Indoor T&F),2026-01-30,PV,,,
116,Larry Wieczorek Invitational,2026-01-23,PV,3.75,,
116,Tierney Classic,2026-01-18,PV,3.6,,
116,Minnesota Open,2026-01-10,PV,3.71,,
116,Horizon League Championship,2025-05-09,PV,3.51,,
116,Badger Challenge,2025-05-02,PV,3.82,,
116,Fighting Illini Twilight,2025-04-26,PV,3.67,,
116,Gibson Invitational,2025-04-17,PV,3.6,,
116,Marquette Invitational,2025-04-10,PV,3.66,,
116,Ashton May Invitational,2025-04-05,PV,3.66,,
116,Redbird Challenge,2025-03-28,PV,3.58,,
116,2025 Horizon League Indoor Track & Field Championship,2025-03-01,PV,3.56,,
116,Panther Tune-up,2025-02-22,PV,3.65,,
116,UW-La Crosse Mark Guthrie Legacy Invitational,2025-02-08,PV,3.64,,
116,Meyo Invitational (2025 Notre Dame Indoor Track & Field),2025-01-31,PV,3.76,,
116,John Tierney Classic,2025-01-25,PV,3.75,,
116,Badgers Midwest Invite,2025-01-11,PV,3.4,,
124,Gibson Invitational,2026-04-16,400,,57.62,
124,Gibson Invitational,2026-04-16,4x400,,,
124,Marquette Invitational,2026-04-10,100,,12.48,(2.5)
124,Marquette Invitational,2026-04-10,200,,26.04,(-2.8)
124,Marquette Invitational,2026-04-10,4x100,,47.16,
124,UW-La Crosse Ashton May Invitational,2026-04-03,100,,12.72,(1.1)
124,UW-La Crosse Ashton May Invitational,2026-04-03,200,,25.70,(1.7)
124,Raleigh Relays,2026-03-26,200,,25.96,(0.4)
124,Raleigh Relays,2026-03-26,400,,57.87,
124,2026 Horizon League Indoor Track & Field Championship,2026-02-28,400,,56.88,
124,2026 Horizon League Indoor Track & Field Championship,2026-02-28,4x400,,3:48.01,
124,2026 Horizon League Indoor Track & Field Championship,2026-02-28,DMR,,12:40.54,
124,GVSU Big Meet-Friday,2026-02-13,200,,25.72,
